iter	Accuracy	Logloss
0	0.8005617978	0.6584591302
1	0.8075842697	0.6236258974
2	0.8061797753	0.5946960066
3	0.8061797753	0.569826884
4	0.827247191	0.5463702838
5	0.8328651685	0.5301076447
6	0.8314606742	0.5182185557
7	0.8286516854	0.5057859453
8	0.8258426966	0.4971983482
9	0.8286516854	0.4840783725
10	0.8286516854	0.4744759327
11	0.8342696629	0.4675470545
12	0.8356741573	0.4633446083
13	0.8342696629	0.4565037681
14	0.8328651685	0.4523490312
15	0.8328651685	0.4455179384
16	0.8328651685	0.4403710549
17	0.8328651685	0.4370640829
18	0.8328651685	0.4332783142
19	0.8342696629	0.4301142563
20	0.8328651685	0.4276873861
21	0.8328651685	0.4250918887
22	0.8342696629	0.423062321
23	0.8328651685	0.4220509752
24	0.8300561798	0.4198657985
25	0.8300561798	0.4183936278
26	0.8300561798	0.4167498679
27	0.8342696629	0.4159818621
28	0.8328651685	0.4146389177
29	0.8328651685	0.4136318296
30	0.8328651685	0.412504811
31	0.8314606742	0.4114772781
32	0.8314606742	0.4111599144
33	0.8314606742	0.4105318065
34	0.8300561798	0.4095435767
35	0.8300561798	0.4087369724
36	0.8314606742	0.408168075
37	0.8314606742	0.4073993674
38	0.8314606742	0.4058060111
39	0.8342696629	0.4046657452
40	0.8342696629	0.4043290074
41	0.8328651685	0.4030072995
42	0.8384831461	0.4022666675
43	0.8384831461	0.4013453775
44	0.8384831461	0.4010369156
45	0.8384831461	0.4007675734
46	0.8384831461	0.4004158845
47	0.8398876404	0.4000030002
48	0.8398876404	0.3987173617
49	0.8398876404	0.3985906951
50	0.8398876404	0.3981364677
51	0.8384831461	0.3978509685
52	0.8384831461	0.3977015979
53	0.8384831461	0.3969701234
54	0.8384831461	0.3966811068
55	0.8384831461	0.3963275086
56	0.8412921348	0.3956405921
57	0.8412921348	0.3953937576
58	0.845505618	0.3950767283
59	0.845505618	0.3950521393
60	0.845505618	0.394888158
61	0.8426966292	0.394709964
62	0.8426966292	0.3945871028
63	0.8426966292	0.3944609642
64	0.8426966292	0.3943576746
65	0.8426966292	0.394214479
66	0.8426966292	0.3940294135
67	0.8398876404	0.3938439252
68	0.8426966292	0.3936834909
69	0.8398876404	0.3933169386
70	0.8398876404	0.3930695054
71	0.8398876404	0.3926474148
72	0.8398876404	0.3924105066
73	0.8384831461	0.3922136928
74	0.8384831461	0.3918685287
75	0.8398876404	0.3917141059
76	0.8384831461	0.39140236
77	0.8398876404	0.3912070576
78	0.8384831461	0.3910010667
79	0.8398876404	0.3908893612
80	0.8398876404	0.3907103484
81	0.8398876404	0.3906353754
82	0.8412921348	0.3904260287
83	0.8412921348	0.3902811081
84	0.8426966292	0.3900844881
85	0.8441011236	0.3900000007
86	0.8441011236	0.3896007674
87	0.8441011236	0.3895014338
88	0.8441011236	0.3893670602
89	0.8441011236	0.3885395179
90	0.8441011236	0.388412415
91	0.8441011236	0.3882279232
92	0.8441011236	0.3880370378
93	0.8469101124	0.3879767103
94	0.8469101124	0.3878784442
95	0.8469101124	0.3878239997
96	0.8469101124	0.3875734343
97	0.8469101124	0.38752713
98	0.8469101124	0.3874755469
99	0.8469101124	0.3874253538
