iter	Passed	Remaining
0	190	18817
1	199	9799
2	212	6874
3	224	5383
4	231	4401
5	236	3709
6	245	3265
7	252	2908
8	261	2643
9	268	2416
10	276	2234
11	283	2076
12	288	1932
13	295	1816
14	303	1720
15	310	1630
16	317	1549
17	325	1482
18	332	1416
19	345	1381
20	355	1337
21	362	1286
22	371	1244
23	378	1199
24	386	1159
25	393	1119
26	401	1084
27	408	1049
28	415	1016
29	422	985
30	429	955
31	438	931
32	444	903
33	453	880
34	460	855
35	468	832
36	475	809
37	482	787
38	489	766
39	497	746
40	504	726
41	511	706
42	519	688
43	526	669
44	534	653
45	541	636
46	549	620
47	556	603
48	564	588
49	571	571
50	579	557
51	586	541
52	594	526
53	601	512
54	608	497
55	617	485
56	625	471
57	633	459
58	640	445
59	648	432
60	655	419
61	663	406
62	670	393
63	678	381
64	685	369
65	693	357
66	700	344
67	707	332
68	714	321
69	721	309
70	729	297
71	736	286
72	746	276
73	754	264
74	761	253
75	768	242
76	777	232
77	783	221
78	791	210
79	798	199
80	805	189
81	812	178
82	819	167
83	827	157
84	834	147
85	842	137
86	849	126
87	857	116
88	864	106
89	872	96
90	880	87
91	889	77
92	897	67
93	907	57
94	913	48
95	921	38
96	928	28
97	935	19
98	942	9
99	950	0
